ReviewTitle,ReviewBody,ReviewStar,Product,CleanedReviewBody,ReviewTitleLength,ReviewBodyLength,SentimentPolarity,SentimentSubjectivity,SentimentLabel,PredictedSentiment
"Honest review of an edm music lover
","No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.1.Bluetooth range not more than 10m2. Pain in ear due the conical buds(can be removed)3. Wires are a bit long which makes it odd in front.4. No pouch provided.5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice.
",3,boAt Rockerz 255,doubt great bass great extent nois cancel decent sound clariti mindblow batteri follow dissapoint though tri lot rang pain ear due conic bud remov wire bit long make odd pouch worst part low qualiti distor mic person keep complain voic,36,443,0.06750000000000003,0.5391666666666667,neutral,neutral
"Unreliable earphones with high cost
","This  earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.Guys,Also for the proof i have attached picsPlease see and think before buying​ this unreliable product.Thanks.
",1,boAt Rockerz 255,earphon unreli bought day meanwhil right side ear bud got crack automat got divid two part sound qualiti also much good ok one thing bass good boat also proof attach picspleas see think unreli,36,371,0.405952380952381,0.5226190476190476,negative,negative
"Really good and durable.
","i bought itfor 999,I purchased it second time, gifted first one to brother. This is really good.Sound quality is really good.You can connect 2 devices at a time.I connect laptop and mobile both.when listening muaic on Lappy, if u get a call, it switches to mobile,this switch between device is not good but again in this price its awesome.Battery stand by is 36 hours for me, and i have used it continously for 8 hours in one go. So Battery life is pretty awesome.Comfortable on ear.
",4,boAt Rockerz 255,bought itfor purchas second time gift first one brother realli qualiti realli connect devic connect laptop mobil listen muaic lappi u get call switch mobil switch devic good price stand hour use contin hour one go batteri life pretti ear,25,484,0.31666666666666665,0.3111111111111111,positive,positive
"stopped working in just 14 days
","Its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. I am claiming for warrenty and it is still undergoing.
",1,boAt Rockerz 255,sound qualiti ador overal good week stop work sinc never power claim warrenti still undergo,32,199,0.55,0.5,negative,negative
"Just Awesome Wireless Headphone under 1000...😉
","Its Awesome... Good sound quality & 8-9 hrs battery life... Just waww look... 😉 I brought just 999 rupees...But Amazon's Packageing system is Very bad... Very poor packaging... Flipcart's packaging system is much better than Amazon...
",5,boAt Rockerz 255,awesom good sound qualiti hr batteri life waww look brought rupe amazon packag system bad poor packag flipcart packag system much better amazon,47,235,0.10000000000000005,0.5533333333333333,positive,positive
"Charging port not working
","After 11 days, the charging port isn't working and now I can't even return it. Wat to do ?? I know there is one year warranty but it is only been 11 days. C'mon boat, please send me new one.
",1,boAt Rockerz 255,day charg port work ca even return wat know one year warranti day boat pleas send new one,26,191,0.13636363636363635,0.45454545454545453,negative,negative
"Loved the color and sound !!
","Sound-4.5/5Build quality-4.5/5Battery life -4/5Earphones quality is good with strong magnetic lock... Straps is good quality and the earphones wires are too good... Buttons quality is good.. sound is full of punchy bass and and balanced treble and has sorrund effect.. good fitting in ears.. hope connectivity is good.. bcz my last boat Bluetooth bassheads 225 had connection issues... This is worth its price... Hope the packaging was good ...there was no bubble wrapping..
",4,boAt Rockerz 255,life qualiti good strong magnet lock strap good qualiti earphon wire good button qualiti good sound full punchi bass balanc trebl sorrund effect good fit ear hope connect good bcz last boat bluetooth basshead connect issu worth price hope packag good bubbl wrap,29,475,0.47380952380952385,0.4964285714285714,positive,positive
"Great sound with worst mic.
","After one month usage reviewing this .Pros-1- sound quality2- design3- weight4- batteryCons1- very bad mic for talking2- can't use while riding bike3 - Music is too loud
",3,boAt Rockerz 255,one month usag review sound bad mic ca use ride music loud,28,170,-0.06666666666666661,0.6222222222222222,neutral,negative
"Battery life is good enough to keep going all day
","I can’t get enough of this earphone! The bass is amazing and is perfect for a music lover. The battery life is good enough to keep me going all day. The fact that I can connect my laptop and phone at the same time and switch between them makes the experience so much better. I use my earphones a lot for voice calls and this doesn’t let me down at all.  This is a must buy for all music lovers.
",5,boAt Rockerz 255,get enough earphon bass amaz perfect music lover batteri life good enough keep go day fact connect laptop phone time switch make experi much better use earphon lot voic call let must buy music lover,50,395,0.3416666666666666,0.6,positive,positive
"Very very bad Durabity
","The product durability is 1 month..I just lost my bill details so i cant claim my warrenty .. But this earphones built quality is bad . It stops wrking completely after 1 month sep 14 to nov 11 👈 life span .. Dont lose ur bill details incase u want that warranty..  And after purchasing u must register ur product in boat's site for replacement and warranty
",1,boAt Rockerz 255,product durabl month lost bill detail cant claim warrenti earphon built qualiti bad stop wrking complet month sep nov life span dont lose ur bill detail incas u want warranti purchas u must regist ur product boat site replac warranti,23,358,-0.6999999999999998,0.6666666666666666,negative,negative
